,fast_period,slow_period,sig_period,return,dd,sharpe
184,8,24,7,-38.40,23.41,-10.60
185,8,24,8,-39.87,22.61,-7.27
186,8,24,9,-30.05,16.48,-11.43
187,8,24,10,-30.47,16.73,-14.82
188,8,24,11,-30.04,16.48,-12.01
189,8,24,12,-30.02,16.47,-18.52
190,8,24,13,-27.86,15.49,-49.59
191,8,24,14,-25.69,14.22,-16.06
192,8,25,7,-39.87,22.61,-7.27
193,8,25,8,-39.87,22.61,-7.27
194,8,25,9,-32.35,17.88,-6.38
195,8,25,10,-30.47,16.73,-14.82
196,8,25,11,-30.04,16.48,-12.01
197,8,25,12,-29.42,16.42,-13.78
198,8,25,13,-27.86,15.49,-49.59
199,8,25,14,-25.69,14.22,-16.06
200,8,26,7,-39.87,22.61,-7.27
201,8,26,8,-35.16,19.62,-137.14
202,8,26,9,-32.35,17.88,-6.38
203,8,26,10,-30.04,16.48,-12.01
204,8,26,11,-29.42,16.42,-13.78
205,8,26,12,-29.42,16.42,-13.78
206,8,26,13,-27.86,15.49,-49.59
207,8,26,14,-25.85,14.31,-14.94
208,8,27,7,-39.87,22.61,-7.27
209,8,27,8,-31.50,17.36,-7.52
210,8,27,9,-32.35,17.88,-6.38
211,8,27,10,-30.04,16.48,-12.01
212,8,27,11,-29.42,16.42,-13.78
213,8,27,12,-29.42,16.42,-13.78
214,8,27,13,-27.86,15.49,-49.59
215,8,27,14,-24.37,13.46,-5.93
216,8,28,7,-39.87,22.61,-7.27
217,8,28,8,-31.50,17.36,-7.52
218,8,28,9,-32.01,17.67,-5.88
219,8,28,10,-33.53,18.91,-15.12
220,8,28,11,-29.42,16.42,-13.78
221,8,28,12,-29.42,16.42,-13.78
222,8,28,13,-27.86,15.49,-49.59
223,8,28,14,-24.37,13.46,-5.93
224,8,29,7,-39.87,22.61,-7.27
225,8,29,8,-32.35,17.88,-6.38
226,8,29,9,-32.01,17.67,-5.88
227,8,29,10,-29.42,16.42,-13.78
228,8,29,11,-29.42,16.42,-13.78
229,8,29,12,-29.42,16.42,-13.78
230,8,29,13,-24.37,13.46,-5.93
231,8,29,14,-21.89,12.43,-3.40
232,8,30,7,-39.87,22.61,-7.27
233,8,30,8,-32.35,17.88,-6.38
234,8,30,9,-33.63,18.67,-26.47
235,8,30,10,-29.42,16.42,-13.78
236,8,30,11,-29.42,16.42,-13.78
237,8,30,12,-29.42,16.42,-13.78
238,8,30,13,-23.45,13.38,-2.87
239,8,30,14,-21.75,12.42,-3.32
240,8,31,7,-35.16,19.62,-137.14
241,8,31,8,-32.01,17.67,-5.88
242,8,31,9,-33.63,18.67,-26.47
243,8,31,10,-30.02,16.47,-18.52
244,8,31,11,-26.45,14.34,-5.12
245,8,31,12,-26.45,14.34,-5.12
246,8,31,13,-22.88,13.46,-2.59
247,8,31,14,-21.14,12.49,-2.94
248,8,32,7,-31.50,17.36,-7.52
249,8,32,8,-32.01,17.67,-5.88
250,8,32,9,-33.63,18.67,-26.47
251,8,32,10,-26.13,14.15,-4.62
252,8,32,11,-26.13,14.15,-4.62
253,8,32,12,-26.13,14.15,-4.62
254,8,32,13,-22.59,13.53,-2.41
