,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
175,5,14,4,25,20,25,10.23,15.19,0.51
176,5,14,4,25,20,30,12.35,17.64,0.58
177,5,14,4,25,20,35,12.86,18.21,0.60
178,5,14,4,25,20,40,9.81,18.19,0.50
179,5,14,4,25,20,45,-28.51,23.52,-1.20
180,5,14,5,10,10,25,-34.88,26.96,-0.77
181,5,14,5,10,10,30,-29.33,27.19,-0.52
182,5,14,5,10,10,35,-25.08,27.36,-0.38
183,5,14,5,10,10,40,-6.05,27.55,-0.10
184,5,14,5,10,10,45,-29.21,29.21,-0.31
185,5,14,5,15,10,25,-22.96,20.19,-1.81
186,5,14,5,15,10,30,-22.96,20.19,-1.81
187,5,14,5,15,10,35,-22.96,20.19,-1.81
188,5,14,5,15,10,40,-13.32,20.15,-3.56
189,5,14,5,15,10,45,-36.80,24.54,-1.39
190,5,14,5,20,10,25,-2.13,18.04,-6.04
191,5,14,5,20,10,30,-2.13,18.04,-6.04
192,5,14,5,20,10,35,-2.13,18.04,-6.04
193,5,14,5,20,10,40,3.57,18.04,-0.09
194,5,14,5,20,10,45,-25.58,21.21,-1.19
195,5,14,5,25,10,25,24.55,12.50,1.59
196,5,14,5,25,10,30,26.95,15.07,1.50
197,5,14,5,25,10,35,27.91,16.06,1.47
198,5,14,5,25,10,40,16.93,16.08,2.37
199,5,14,5,25,10,45,-19.83,21.21,-0.78
200,5,14,5,10,15,25,-32.54,27.06,-0.65
201,5,14,5,10,15,30,-26.89,27.29,-0.43
202,5,14,5,10,15,35,-22.57,27.46,-0.30
203,5,14,5,10,15,40,-2.87,27.65,-0.03
204,5,14,5,10,15,45,-26.93,29.31,-0.26
205,5,14,5,15,15,25,-22.96,20.19,-1.81
206,5,14,5,15,15,30,-22.96,20.19,-1.81
207,5,14,5,15,15,35,-22.96,20.19,-1.81
208,5,14,5,15,15,40,-13.32,20.15,-3.56
209,5,14,5,15,15,45,-36.80,24.54,-1.39
210,5,14,5,20,15,25,-2.13,18.04,-6.04
211,5,14,5,20,15,30,-2.13,18.04,-6.04
212,5,14,5,20,15,35,-2.13,18.04,-6.04
213,5,14,5,20,15,40,3.57,18.04,-0.09
214,5,14,5,20,15,45,-25.58,21.21,-1.19
215,5,14,5,25,15,25,24.96,12.98,1.57
216,5,14,5,25,15,30,27.37,15.50,1.49
217,5,14,5,25,15,35,27.91,16.06,1.47
218,5,14,5,25,15,40,16.93,16.08,2.37
219,5,14,5,25,15,45,-19.83,21.21,-0.78
220,5,14,5,10,20,25,-35.37,26.41,-0.78
221,5,14,5,10,20,30,-30.45,27.14,-0.56
222,5,14,5,10,20,35,-26.40,27.31,-0.42
223,5,14,5,10,20,40,-7.53,27.50,-0.13
224,5,14,5,10,20,45,-30.33,29.16,-0.34
225,5,14,5,15,20,25,-23.33,19.59,-1.79
226,5,14,5,15,20,30,-22.96,20.19,-1.81
227,5,14,5,15,20,35,-22.96,20.19,-1.81
228,5,14,5,15,20,40,-13.32,20.15,-3.56
229,5,14,5,15,20,45,-36.80,24.54,-1.39
230,5,14,5,20,20,25,-2.59,17.44,-4.48
231,5,14,5,20,20,30,-2.13,18.04,-6.04
232,5,14,5,20,20,35,-2.13,18.04,-6.04
233,5,14,5,20,20,40,3.57,18.04,-0.09
234,5,14,5,20,20,45,-25.58,21.21,-1.19
235,5,14,5,25,20,25,24.96,12.98,1.57
236,5,14,5,25,20,30,27.37,15.50,1.49
237,5,14,5,25,20,35,27.91,16.06,1.47
238,5,14,5,25,20,40,16.93,16.08,2.37
239,5,14,5,25,20,45,-19.83,21.21,-0.78
240,5,21,2,10,10,25,-27.01,25.40,-6.83
241,5,21,2,10,10,30,-36.10,25.70,-44.63
242,5,21,2,10,10,35,-40.47,29.67,-7.50
243,5,21,2,10,10,40,-40.02,31.54,-3.06
244,5,21,2,10,10,45,-53.59,32.95,-52.33
245,5,21,2,15,10,25,-14.93,19.41,-1.22
246,5,21,2,15,10,30,-24.39,19.13,-3.02
247,5,21,2,15,10,35,-29.57,23.46,-2.30
248,5,21,2,15,10,40,-29.18,25.57,-1.35
249,5,21,2,15,10,45,-45.19,27.09,-5.95
250,5,21,2,20,10,25,-14.77,19.75,-1.08
251,5,21,2,20,10,30,-24.45,19.59,-2.53
252,5,21,2,20,10,35,-29.50,23.82,-2.06
253,5,21,2,20,10,40,-31.83,25.86,-1.63
254,5,21,2,20,10,45,-45.51,27.31,-5.71
255,5,21,2,25,10,25,-8.74,19.13,-0.57
256,5,21,2,25,10,30,-20.40,19.61,-1.49
257,5,21,2,25,10,35,-25.72,23.85,-1.38
258,5,21,2,25,10,40,-29.79,25.84,-1.36
259,5,21,2,25,10,45,-44.72,27.28,-5.01
260,5,21,2,10,15,25,-28.24,26.61,-4.99
261,5,21,2,10,15,30,-37.27,26.39,-17.92
262,5,21,2,10,15,35,-41.60,30.35,-6.27
263,5,21,2,10,15,40,-41.26,32.26,-2.86
264,5,21,2,10,15,45,-54.49,33.61,-25.07
265,5,21,2,15,15,25,-16.20,20.64,-1.15
266,5,21,2,15,15,30,-25.79,19.89,-2.74
267,5,21,2,15,15,35,-30.92,24.20,-2.18
268,5,21,2,15,15,40,-30.66,26.35,-1.33
269,5,21,2,15,15,45,-46.38,27.89,-5.19
270,5,21,2,20,15,25,-16.04,20.97,-1.04
271,5,21,2,20,15,30,-25.97,20.41,-2.33
272,5,21,2,20,15,35,-30.85,24.56,-1.97
273,5,21,2,20,15,40,-33.15,26.59,-1.59
