,pfast,pmid,pslow,return,dd,sharpe
192,3,19,33,-50.79,46.34,-0.81
193,3,19,34,-45.03,39.97,-1.00
194,3,19,35,-45.20,39.97,-1.01
195,3,19,36,-45.45,39.97,-1.03
196,3,19,37,-44.64,39.22,-1.03
197,3,19,38,-43.27,38.10,-1.02
198,3,19,39,-37.52,30.86,-1.55
199,3,19,40,-37.34,30.95,-1.52
200,3,20,21,-15.70,24.06,-0.91
201,3,20,22,-15.15,26.51,-0.58
202,3,20,23,10.98,20.70,0.79
203,3,20,24,-39.62,38.94,-0.65
204,3,20,25,47.38,18.73,1.37
205,3,20,26,-33.22,31.74,-0.84
206,3,20,27,-31.31,30.43,-0.81
207,3,20,28,-40.85,38.61,-0.74
208,3,20,29,-43.17,40.45,-0.75
209,3,20,30,-46.29,43.03,-0.77
210,3,20,31,-47.54,44.13,-0.77
211,3,20,32,-48.71,45.05,-0.78
212,3,20,33,-42.77,38.85,-0.93
213,3,20,34,-44.14,39.97,-0.94
214,3,20,35,-44.14,39.97,-0.94
215,3,20,36,-44.14,39.97,-0.94
216,3,20,37,-35.93,28.95,-1.36
217,3,20,38,-35.93,28.95,-1.36
218,3,20,39,-35.93,28.95,-1.36
219,3,20,40,-35.93,28.95,-1.36
220,4,10,21,-43.16,33.55,-1.09
221,4,10,22,-46.28,35.18,-1.08
222,4,10,23,-39.46,33.44,-0.81
223,4,10,24,-2.86,10.97,-0.62
224,4,10,25,-42.61,35.54,-0.82
225,4,10,26,-45.18,37.27,-0.83
226,4,10,27,-48.88,39.86,-0.84
227,4,10,28,-50.16,40.68,-0.85
228,4,10,29,-4.79,19.88,-0.11
229,4,10,30,-22.12,28.30,-0.30
230,4,10,31,-20.48,28.34,-0.26
231,4,10,32,-19.05,27.82,-0.25
232,4,10,33,-18.53,28.11,-0.23
233,4,10,34,-18.59,28.61,-0.22
234,4,10,35,-21.09,30.29,-0.23
235,4,10,36,-21.11,30.65,-0.22
236,4,10,37,-20.78,30.58,-0.21
237,4,10,38,-20.49,30.66,-0.21
238,4,10,39,-20.06,30.31,-0.21
239,4,10,40,-20.12,29.88,-0.22
240,4,11,21,-36.28,32.16,-0.85
241,4,11,22,-33.91,30.84,-0.81
242,4,11,23,-30.57,29.49,-0.74
243,4,11,24,-2.86,10.97,-0.62
244,4,11,25,-32.75,31.53,-0.72
245,4,11,26,-35.85,32.81,-0.78
246,4,11,27,-39.92,35.25,-0.84
247,4,11,28,-41.21,36.05,-0.85
248,4,11,29,-24.02,23.21,-0.58
249,4,11,30,-22.60,23.36,-0.51
250,4,11,31,-21.33,22.90,-0.49
251,4,11,32,-23.39,24.37,-0.49
252,4,11,33,-21.59,23.97,-0.45
253,4,11,34,-25.50,22.97,-0.78
254,4,11,35,-26.30,23.12,-0.80
255,4,11,36,-26.64,23.21,-0.81
256,4,11,37,-26.40,23.07,-0.81
257,4,11,38,-26.27,23.00,-0.80
258,4,11,39,-25.78,22.73,-0.80
259,4,11,40,-21.35,23.61,-0.46
260,4,12,21,-36.28,32.16,-0.85
261,4,12,22,-36.07,31.22,-0.81
262,4,12,23,-33.45,30.26,-0.75
263,4,12,24,-30.49,29.23,-0.70
264,4,12,25,-30.45,28.99,-0.71
265,4,12,26,-34.51,30.57,-0.78
266,4,12,27,-37.60,32.24,-0.83
267,4,12,28,-41.04,34.58,-0.85
268,4,12,29,-29.93,26.06,-0.63
269,4,12,30,-28.10,25.46,-0.57
270,4,12,31,-29.50,26.62,-0.57
271,4,12,32,-29.16,26.71,-0.54
272,4,12,33,-28.00,26.14,-0.51
273,4,12,34,-31.27,25.84,-0.81
274,4,12,35,-31.21,25.72,-0.82
275,4,12,36,-32.00,26.18,-0.83
276,4,12,37,-28.78,24.75,-0.82
277,4,12,38,-28.44,24.48,-0.82
278,4,12,39,-28.30,24.35,-0.82
279,4,12,40,-24.82,24.69,-0.49
280,4,13,21,-39.03,32.91,-0.86
281,4,13,22,-36.07,31.22,-0.81
282,4,13,23,-33.45,30.26,-0.75
283,4,13,24,-15.62,16.32,-1.06
284,4,13,25,-30.45,28.99,-0.71
285,4,13,26,-34.51,30.57,-0.78
286,4,13,27,-37.60,32.24,-0.83
287,4,13,28,-41.04,34.58,-0.85
288,4,13,29,-29.93,26.06,-0.63
289,4,13,30,-30.23,27.07,-0.58
290,4,13,31,-29.50,26.62,-0.57
291,4,13,32,-29.16,26.71,-0.54
292,4,13,33,-28.00,26.14,-0.51
293,4,13,34,-28.20,24.52,-0.79
294,4,13,35,-27.76,24.07,-0.80
295,4,13,36,-28.58,24.56,-0.82
296,4,13,37,-28.78,24.75,-0.82
297,4,13,38,-28.44,24.48,-0.82
298,4,13,39,-15.93,17.00,-0.72
299,4,13,40,-12.21,17.56,-0.34
300,4,14,21,-39.03,32.91,-0.86
301,4,14,22,-36.07,31.22,-0.81
302,4,14,23,-33.45,30.26,-0.75
303,4,14,24,-15.62,16.32,-1.06
304,4,14,25,-52.21,39.89,-0.81
305,4,14,26,-52.60,39.70,-0.84
306,4,14,27,-56.92,42.49,-0.89
307,4,14,28,-41.04,34.58,-0.85
308,4,14,29,-31.45,27.27,-0.64
309,4,14,30,-30.23,27.07,-0.58
310,4,14,31,-29.50,26.62,-0.57
311,4,14,32,-26.23,25.68,-0.52
312,4,14,33,-25.45,25.39,-0.49
