,fast_period,slow_period,sig_period,return,dd,sharpe
338,9,23,9,74.49,10.06,1.49
339,9,23,10,74.49,10.06,1.49
340,9,23,11,-16.96,21.03,-0.52
341,9,23,12,-17.43,21.03,-0.51
342,9,23,13,-18.61,21.78,-0.53
343,9,23,14,-20.35,21.17,-0.55
344,9,24,7,80.10,10.06,1.44
345,9,24,8,74.49,10.06,1.49
346,9,24,9,74.49,10.06,1.49
347,9,24,10,-16.96,21.03,-0.52
348,9,24,11,-17.43,21.03,-0.51
349,9,24,12,-17.43,21.03,-0.51
350,9,24,13,-20.35,21.17,-0.55
351,9,24,14,-21.89,21.17,-0.57
352,9,25,7,74.49,10.06,1.49
353,9,25,8,74.49,10.06,1.49
354,9,25,9,-16.96,21.03,-0.52
355,9,25,10,-16.96,21.03,-0.52
356,9,25,11,-17.43,21.03,-0.51
357,9,25,12,-19.19,20.42,-0.53
358,9,25,13,-20.35,21.17,-0.55
359,9,25,14,-21.89,21.17,-0.57
360,9,26,7,74.49,10.06,1.49
361,9,26,8,-16.96,21.03,-0.52
362,9,26,9,-16.96,21.03,-0.52
363,9,26,10,-17.43,21.03,-0.51
364,9,26,11,-19.19,20.42,-0.53
365,9,26,12,-20.35,21.17,-0.55
366,9,26,13,-21.89,21.17,-0.57
367,9,26,14,-21.89,21.17,-0.57
368,9,27,7,-16.96,21.03,-0.52
369,9,27,8,-16.96,21.03,-0.52
370,9,27,9,-17.43,21.03,-0.51
371,9,27,10,-19.19,20.42,-0.53
372,9,27,11,-19.19,20.42,-0.53
373,9,27,12,-20.35,21.17,-0.55
374,9,27,13,-21.89,21.17,-0.57
375,9,27,14,-21.89,21.17,-0.57
376,9,28,7,-16.96,21.03,-0.52
377,9,28,8,-16.96,21.03,-0.52
378,9,28,9,-17.43,21.03,-0.51
379,9,28,10,-19.19,20.42,-0.53
380,9,28,11,-19.19,20.42,-0.53
381,9,28,12,-21.89,21.17,-0.57
382,9,28,13,-21.89,21.17,-0.57
383,9,28,14,-21.89,21.17,-0.57
384,9,29,7,-16.96,21.03,-0.52
385,9,29,8,-17.43,21.03,-0.51
386,9,29,9,-19.19,20.42,-0.53
387,9,29,10,-19.19,20.42,-0.53
388,9,29,11,-20.35,21.17,-0.55
389,9,29,12,-21.89,21.17,-0.57
390,9,29,13,-21.89,21.17,-0.57
391,9,29,14,-21.89,21.17,-0.57
392,9,30,7,-16.96,21.03,-0.52
393,9,30,8,-17.43,21.03,-0.51
394,9,30,9,-19.19,20.42,-0.53
395,9,30,10,-19.19,20.42,-0.53
396,9,30,11,-21.89,21.17,-0.57
397,9,30,12,-21.89,21.17,-0.57
398,9,30,13,-21.89,21.17,-0.57
399,9,30,14,-21.89,21.17,-0.57
400,9,31,7,-16.96,21.03,-0.52
401,9,31,8,-17.43,21.03,-0.51
402,9,31,9,-19.19,20.42,-0.53
403,9,31,10,-19.19,20.42,-0.53
404,9,31,11,-21.89,21.17,-0.57
405,9,31,12,-21.89,21.17,-0.57
406,9,31,13,-21.89,21.17,-0.57
407,9,31,14,-21.89,21.17,-0.57
408,9,32,7,-17.43,21.03,-0.51
409,9,32,8,-17.43,21.03,-0.51
410,9,32,9,-19.19,20.42,-0.53
411,9,32,10,-21.89,21.17,-0.57
412,9,32,11,-21.89,21.17,-0.57
413,9,32,12,-21.89,21.17,-0.57
414,9,32,13,-21.89,21.17,-0.57
415,9,32,14,-20.81,21.17,-0.56
416,9,33,7,-17.43,21.03,-0.51
417,9,33,8,-17.43,21.03,-0.51
418,9,33,9,-17.43,21.03,-0.51
419,9,33,10,-21.89,21.17,-0.57
420,9,33,11,-21.89,21.17,-0.57
421,9,33,12,-21.89,21.17,-0.57
422,9,33,13,-21.89,21.17,-0.57
423,9,33,14,81.19,10.06,1.45
424,9,34,7,-17.43,21.03,-0.51
425,9,34,8,-17.43,21.03,-0.51
426,9,34,9,-17.43,21.03,-0.51
427,9,34,10,-20.19,21.78,-0.56
428,9,34,11,-21.89,21.17,-0.57
429,9,34,12,-21.89,21.17,-0.57
430,9,34,13,81.19,10.06,1.45
