,vol_window,vol_roc_period,price_lookback,sma_window,return,dd,sharpe
185,15,10,9,21,6.89,2.20,0.41
186,15,10,9,28,6.89,2.20,0.41
187,15,10,9,35,6.89,2.20,0.41
188,15,10,10,14,44.41,44.26,0.90
189,15,10,10,21,44.41,44.26,0.90
190,15,10,10,28,0.00,0.00,
191,15,10,10,35,0.00,0.00,
192,20,3,5,14,-18.73,33.72,-0.38
193,20,3,5,21,-60.20,42.35,-2.04
194,20,3,5,28,-61.30,43.16,-1.99
195,20,3,5,35,-65.60,46.41,-1.84
196,20,3,6,14,292.08,14.77,0.98
197,20,3,6,21,-31.05,18.83,-12.89
198,20,3,6,28,-31.05,18.83,-12.89
199,20,3,6,35,-31.05,18.83,-12.89
200,20,3,7,14,10.03,4.21,0.59
201,20,3,7,21,-32.44,19.66,-18.47
202,20,3,7,28,-32.44,19.66,-18.47
203,20,3,7,35,-32.44,19.66,-18.47
204,20,3,8,14,7.58,5.28,0.43
205,20,3,8,21,7.58,5.28,0.43
206,20,3,8,28,7.58,5.28,0.43
207,20,3,8,35,-27.06,22.34,-3.29
208,20,3,9,14,15.47,3.70,0.53
209,20,3,9,21,15.47,3.70,0.53
210,20,3,9,28,15.47,3.70,0.53
211,20,3,9,35,-27.71,22.69,-3.37
212,20,3,10,14,47.15,46.15,0.67
213,20,3,10,21,47.15,46.15,0.67
214,20,3,10,28,1.90,6.41,-0.09
215,20,3,10,35,-24.61,21.05,-2.71
216,20,4,5,14,355.92,14.88,1.19
217,20,4,5,21,-26.77,20.49,-5.78
218,20,4,5,28,-26.77,20.49,-5.78
219,20,4,5,35,-26.77,20.49,-5.78
220,20,4,6,14,292.08,14.77,0.98
221,20,4,6,21,-32.72,19.83,-21.62
222,20,4,6,28,-32.72,19.83,-21.62
223,20,4,6,35,-32.72,19.83,-21.62
224,20,4,7,14,10.03,4.21,0.59
225,20,4,7,21,10.03,4.21,0.59
226,20,4,7,28,10.03,4.21,0.59
227,20,4,7,35,-27.06,22.34,-3.29
228,20,4,8,14,7.58,5.28,0.43
229,20,4,8,21,7.58,5.28,0.43
230,20,4,8,28,7.58,5.28,0.43
231,20,4,8,35,-26.29,21.93,-3.52
232,20,4,9,14,15.47,3.70,0.53
233,20,4,9,21,15.47,3.70,0.53
234,20,4,9,28,15.47,3.70,0.53
235,20,4,9,35,-22.48,19.94,-5.93
236,20,4,10,14,47.15,46.15,0.67
237,20,4,10,21,47.15,46.15,0.67
238,20,4,10,28,1.90,6.41,-0.09
239,20,4,10,35,-9.66,14.40,-1.40
240,20,5,5,14,316.01,14.88,1.07
241,20,5,5,21,-28.01,21.16,-5.54
242,20,5,5,28,-28.01,21.16,-5.54
243,20,5,5,35,-28.01,21.16,-5.54
244,20,5,6,14,322.60,14.77,1.06
245,20,5,6,21,-28.72,21.54,-6.64
246,20,5,6,28,-28.72,21.54,-6.64
247,20,5,6,35,-28.72,21.54,-6.64
248,20,5,7,14,10.03,4.21,0.59
249,20,5,7,21,-33.29,20.16,-20.50
250,20,5,7,28,-33.29,20.16,-20.50
251,20,5,7,35,-33.29,20.16,-20.50
252,20,5,8,14,7.58,5.28,0.43
253,20,5,8,21,7.58,5.28,0.43
254,20,5,8,28,7.58,5.28,0.43
255,20,5,8,35,-26.29,21.93,-3.52
256,20,5,9,14,20.26,7.07,0.79
257,20,5,9,21,15.47,3.70,0.53
258,20,5,9,28,15.47,3.70,0.53
259,20,5,9,35,-22.48,19.94,-5.93
260,20,5,10,14,47.15,46.15,0.67
261,20,5,10,21,47.15,46.15,0.67
262,20,5,10,28,1.90,6.41,-0.09
263,20,5,10,35,1.90,6.41,-0.09
264,20,6,5,14,355.92,14.88,1.19
265,20,6,5,21,-28.01,21.16,-5.54
266,20,6,5,28,-28.01,21.16,-5.54
267,20,6,5,35,-28.01,21.16,-5.54
268,20,6,6,14,322.60,14.77,1.06
269,20,6,6,21,-34.22,30.79,-3.18
270,20,6,6,28,-24.27,30.79,-0.72
271,20,6,6,35,-20.38,22.86,-7.08
272,20,6,7,14,10.03,4.21,0.59
273,20,6,7,21,21.16,4.21,622.73
274,20,6,7,28,21.16,4.21,622.73
275,20,6,7,35,-19.68,22.34,-16.76
276,20,6,8,14,7.58,5.28,0.43
277,20,6,8,21,7.58,5.28,0.43
278,20,6,8,28,7.58,5.28,0.43
279,20,6,8,35,-26.29,21.93,-3.52
280,20,6,9,14,20.26,7.07,0.79
281,20,6,9,21,15.47,3.70,0.53
282,20,6,9,28,15.47,3.70,0.53
283,20,6,9,35,-22.48,19.94,-5.93
284,20,6,10,14,47.15,46.15,0.67
285,20,6,10,21,47.15,46.15,0.67
286,20,6,10,28,1.90,6.41,-0.09
287,20,6,10,35,1.90,6.41,-0.09
288,20,7,5,14,316.01,14.88,1.07
289,20,7,5,21,-27.38,20.82,-6.07
290,20,7,5,28,-27.38,20.82,-6.07
291,20,7,5,35,-27.38,20.82,-6.07
292,20,7,6,14,322.60,14.77,1.06
293,20,7,6,21,3.96,12.65,0.04
294,20,7,6,28,-2.14,13.42,-0.21
295,20,7,6,35,-21.38,23.35,-7.76
296,20,7,7,14,10.03,4.21,0.59
297,20,7,7,21,21.16,4.21,622.73
298,20,7,7,28,21.16,4.21,622.73
299,20,7,7,35,-0.52,14.40,-0.20
300,20,7,8,14,15.76,5.28,16.73
301,20,7,8,21,15.76,5.28,16.73
302,20,7,8,28,15.76,5.28,16.73
303,20,7,8,35,15.76,5.28,16.73
304,20,7,9,14,-3.76,10.80,-0.15
305,20,7,9,21,15.47,3.70,0.53
306,20,7,9,28,15.47,3.70,0.53
307,20,7,9,35,15.47,3.70,0.53
308,20,7,10,14,47.15,46.15,0.67
309,20,7,10,21,47.15,46.15,0.67
310,20,7,10,28,1.90,6.41,-0.09
311,20,7,10,35,1.90,6.41,-0.09
312,20,8,5,14,316.01,14.88,1.07
313,20,8,5,21,26.75,3.13,2.87
314,20,8,5,28,22.41,4.09,4.90
315,20,8,5,35,-1.66,14.40,-0.28
316,20,8,6,14,322.60,14.77,1.06
317,20,8,6,21,28.76,3.26,2.03
318,20,8,6,28,-1.10,12.96,-0.18
319,20,8,6,35,-20.55,22.95,-10.39
320,20,8,7,14,18.39,4.21,5.54
321,20,8,7,21,21.16,4.21,622.73
322,20,8,7,28,21.16,4.21,622.73
323,20,8,7,35,18.47,5.28,7.56
324,20,8,8,14,15.76,5.28,16.73
325,20,8,8,21,15.76,5.28,16.73
326,20,8,8,28,15.76,5.28,16.73
327,20,8,8,35,15.76,5.28,16.73
328,20,8,9,14,-3.76,10.80,-0.15
329,20,8,9,21,15.47,3.70,0.53
330,20,8,9,28,15.47,3.70,0.53
331,20,8,9,35,15.47,3.70,0.53
332,20,8,10,14,47.15,46.15,0.67
333,20,8,10,21,47.15,46.15,0.67
334,20,8,10,28,1.90,6.41,-0.09
335,20,8,10,35,1.90,6.41,-0.09
336,20,9,5,14,355.92,14.88,1.19
337,20,9,5,21,38.90,5.36,11.49
338,20,9,5,28,22.41,4.09,4.90
339,20,9,5,35,-15.62,20.61,-6.44
340,20,9,6,14,322.60,14.77,1.06
341,20,9,6,21,28.76,3.26,2.03
342,20,9,6,28,21.21,4.09,3.53
343,20,9,6,35,-16.45,20.99,-9.62
344,20,9,7,14,18.39,4.21,5.54
345,20,9,7,21,21.16,4.21,622.73
346,20,9,7,28,21.16,4.21,622.73
347,20,9,7,35,18.47,5.28,7.56
348,20,9,8,14,15.76,5.28,16.73
349,20,9,8,21,15.76,5.28,16.73
350,20,9,8,28,15.76,5.28,16.73
351,20,9,8,35,15.76,5.28,16.73
352,20,9,9,14,2.87,10.80,0.01
353,20,9,9,21,23.43,3.70,1.23
354,20,9,9,28,23.43,3.70,1.23
355,20,9,9,35,23.43,3.70,1.23
356,20,9,10,14,47.15,46.15,0.67
357,20,9,10,21,47.15,46.15,0.67
358,20,9,10,28,1.90,6.41,-0.09
359,20,9,10,35,1.90,6.41,-0.09
360,20,10,5,14,-18.73,33.72,-0.38
361,20,10,5,21,-18.73,33.72,-0.38
362,20,10,5,28,-28.38,33.72,-0.71
363,20,10,5,35,-37.37,33.72,-1.43
364,20,10,6,14,322.60,14.77,1.06
365,20,10,6,21,28.76,3.26,2.03
366,20,10,6,28,21.21,4.09,3.53
367,20,10,6,35,15.96,5.28,23.46
368,20,10,7,14,18.39,4.21,5.54
369,20,10,7,21,21.16,4.21,622.73
370,20,10,7,28,21.16,4.21,622.73
371,20,10,7,35,18.47,5.28,7.56
372,20,10,8,14,15.76,5.28,16.73
373,20,10,8,21,15.76,5.28,16.73
374,20,10,8,28,15.76,5.28,16.73
375,20,10,8,35,15.76,5.28,16.73
376,20,10,9,14,2.87,10.80,0.01
377,20,10,9,21,23.43,3.70,1.23
378,20,10,9,28,23.43,3.70,1.23
379,20,10,9,35,23.43,3.70,1.23
380,20,10,10,14,47.15,46.15,0.67
381,20,10,10,21,47.15,46.15,0.67
382,20,10,10,28,1.90,6.41,-0.09
383,20,10,10,35,1.90,6.41,-0.09
384,25,3,5,14,-31.39,33.26,-1.12
385,25,3,5,21,-57.98,40.84,-2.14
386,25,3,5,28,-59.14,41.66,-2.08
387,25,3,5,35,-65.36,46.10,-1.84
388,25,3,6,14,-29.61,33.26,-1.12
389,25,3,6,21,-51.32,36.49,-1.07
390,25,3,6,28,-60.27,42.28,-2.04
391,25,3,6,35,-60.27,42.28,-2.04
392,25,3,7,14,-35.62,33.72,-1.10
393,25,3,7,21,-35.62,33.72,-1.10
394,25,3,7,28,-50.43,36.99,-1.07
395,25,3,7,35,-54.64,38.46,-1.84
396,25,3,8,14,-39.17,35.08,-1.11
397,25,3,8,21,-39.17,35.08,-1.11
398,25,3,8,28,-39.17,35.08,-1.11
399,25,3,8,35,-50.16,37.27,-1.07
400,25,3,9,14,-35.94,34.90,-1.29
401,25,3,9,21,-35.94,34.90,-1.29
402,25,3,9,28,-35.94,34.90,-1.29
403,25,3,9,35,-60.51,41.92,-2.12
404,25,3,10,14,47.15,46.15,0.67
405,25,3,10,21,-40.42,33.22,-1.65
406,25,3,10,28,-40.42,33.22,-1.65
407,25,3,10,35,-58.39,40.66,-2.23
408,25,4,5,14,-29.61,33.26,-1.12
409,25,4,5,21,-29.61,33.26,-1.12
410,25,4,5,28,-33.73,33.26,-1.11
411,25,4,5,35,-54.32,38.10,-1.85
412,25,4,6,14,-30.11,33.72,-1.12
413,25,4,6,21,-30.11,33.72,-1.12
414,25,4,6,28,-34.20,33.72,-1.11
415,25,4,6,35,-57.69,40.57,-2.33
416,25,4,7,14,-37.78,35.08,-1.10
417,25,4,7,21,-37.78,35.08,-1.10
418,25,4,7,28,-52.10,38.08,-1.06
419,25,4,7,35,-48.11,36.46,-1.07
420,25,4,8,14,-40.31,34.90,-1.10
