,pfast,pmid,pslow,return,dd,sharpe
1062,7,19,19,-59.11,43.08,-2.02
1063,7,19,19,-58.87,43.11,-2.03
1064,7,19,19,-47.27,37.33,-0.93
1065,7,19,19,-47.27,37.33,-0.93
1066,7,19,19,-45.17,36.68,-0.93
1067,7,19,19,21.98,25.46,1.63
1068,7,19,19,21.98,25.46,1.63
1069,7,19,19,26.17,25.46,3.01
1070,7,19,19,26.17,25.46,3.01
1071,7,19,19,24.92,25.46,2.47
1072,7,19,19,24.92,25.46,2.47
1073,7,19,19,27.91,25.46,0.87
1074,7,19,19,5.81,28.26,0.14
1075,7,19,19,-3.92,28.26,-2.01
1076,7,19,19,-3.92,28.26,-2.01
1077,7,19,19,-3.92,28.26,-2.01
1078,7,19,19,-3.11,28.26,-0.56
1079,7,19,19,-8.31,22.90,-1.47
1080,7,20,20,-53.06,39.66,-2.36
1081,7,20,20,-59.24,42.62,-2.12
1082,7,20,20,-59.00,42.66,-2.13
1083,7,20,20,-59.00,42.66,-2.13
1084,7,20,20,-42.67,35.21,-0.92
1085,7,20,20,-42.67,35.21,-0.92
1086,7,20,20,-46.71,37.33,-0.90
1087,7,20,20,-44.59,36.68,-0.89
1088,7,20,20,26.17,25.46,3.01
1089,7,20,20,26.17,25.46,3.01
1090,7,20,20,24.92,25.46,2.47
1091,7,20,20,24.92,25.46,2.47
1092,7,20,20,27.91,25.46,0.87
1093,7,20,20,27.91,25.46,0.87
1094,7,20,20,-3.92,28.26,-2.01
1095,7,20,20,-3.92,28.26,-2.01
1096,7,20,20,-3.92,28.26,-2.01
1097,7,20,20,-3.11,28.26,-0.56
1098,7,20,20,-8.31,22.90,-1.47
1099,7,20,20,-10.85,25.74,-7.47
