,fast_period,slow_period,sig_period,return,dd,sharpe
174,8,22,13,-1.02,1.71,-5.12
175,8,22,14,-0.66,1.64,-7.55
176,8,23,7,-4.46,2.37,-3.42
177,8,23,8,-2.63,1.97,-11.01
178,8,23,9,-2.51,1.91,-9.01
179,8,23,10,-0.66,1.67,-3.93
180,8,23,11,-0.66,1.67,-3.93
181,8,23,12,-1.02,1.71,-5.12
182,8,23,13,-1.02,1.71,-5.12
183,8,23,14,-0.66,1.64,-7.55
184,8,24,7,-4.46,2.37,-3.42
185,8,24,8,-2.63,1.97,-11.01
186,8,24,9,-2.51,1.91,-9.01
187,8,24,10,-0.66,1.67,-3.93
188,8,24,11,-0.95,1.67,-5.47
189,8,24,12,-1.02,1.71,-5.12
190,8,24,13,-0.66,1.64,-7.55
191,8,24,14,-0.66,1.64,-7.55
192,8,25,7,-4.46,2.37,-3.42
193,8,25,8,-4.46,2.37,-3.42
194,8,25,9,0.84,3.09,-10.34
195,8,25,10,-0.66,1.67,-3.93
196,8,25,11,-1.02,1.71,-5.12
197,8,25,12,-1.02,1.71,-5.12
198,8,25,13,-0.66,1.64,-7.55
199,8,25,14,-0.66,1.64,-7.55
200,8,26,7,-0.44,3.31,-2.82
201,8,26,8,-0.33,3.26,-2.96
202,8,26,9,-1.36,1.75,-2.85
203,8,26,10,-0.79,1.73,-3.66
204,8,26,11,-1.02,1.71,-5.12
205,8,26,12,-1.02,1.71,-5.12
206,8,26,13,-0.66,1.64,-7.55
207,8,26,14,-0.66,1.64,-7.55
208,8,27,7,-0.44,3.31,-2.82
209,8,27,8,-2.51,1.91,-9.01
210,8,27,9,-1.36,1.75,-2.85
211,8,27,10,-1.15,1.77,-4.65
212,8,27,11,-1.15,1.77,-4.65
213,8,27,12,-1.02,1.71,-5.12
214,8,27,13,-0.78,1.70,-6.45
215,8,27,14,-0.78,1.70,-6.45
216,8,28,7,-2.63,1.97,-11.01
217,8,28,8,-2.51,1.91,-9.01
218,8,28,9,-1.36,1.75,-2.85
219,8,28,10,-1.15,1.77,-4.65
220,8,28,11,-1.15,1.77,-4.65
221,8,28,12,-0.78,1.70,-6.45
222,8,28,13,-0.78,1.70,-6.45
223,8,28,14,-0.78,1.70,-6.45
224,8,29,7,-2.63,1.97,-11.01
225,8,29,8,-1.36,1.75,-2.85
226,8,29,9,-0.87,1.77,-3.50
227,8,29,10,-1.15,1.77,-4.65
228,8,29,11,-1.15,1.77,-4.65
229,8,29,12,-0.78,1.70,-6.45
230,8,29,13,-0.78,1.70,-6.45
231,8,29,14,-0.78,1.70,-6.45
232,8,30,7,-2.63,1.97,-11.01
233,8,30,8,-1.36,1.75,-2.85
234,8,30,9,-0.87,1.77,-3.50
235,8,30,10,-1.15,1.77,-4.65
236,8,30,11,-0.78,1.70,-6.45
237,8,30,12,-0.78,1.70,-6.45
238,8,30,13,-0.78,1.70,-6.45
239,8,30,14,-1.88,2.15,-3.20
240,8,31,7,-2.63,1.97,-11.01
241,8,31,8,-1.36,1.75,-2.85
242,8,31,9,-1.15,1.77,-4.65
243,8,31,10,-1.15,1.77,-4.65
244,8,31,11,-0.78,1.70,-6.45
245,8,31,12,-0.78,1.70,-6.45
246,8,31,13,-0.78,1.70,-6.45
247,8,31,14,-1.88,2.15,-3.20
248,8,32,7,-2.63,1.97,-11.01
249,8,32,8,-0.87,1.77,-3.50
250,8,32,9,-1.15,1.77,-4.65
251,8,32,10,-0.78,1.70,-6.45
252,8,32,11,-0.78,1.70,-6.45
253,8,32,12,-0.78,1.70,-6.45
254,8,32,13,-0.78,1.70,-6.45
255,8,32,14,-2.88,1.84,-2.42
256,8,33,7,-2.63,1.97,-11.01
257,8,33,8,-0.87,1.77,-3.50
258,8,33,9,-1.15,1.77,-4.65
259,8,33,10,-0.78,1.70,-6.45
260,8,33,11,-0.78,1.70,-6.45
261,8,33,12,-0.78,1.70,-6.45
262,8,33,13,-2.92,1.86,-2.40
263,8,33,14,-2.92,1.86,-2.40
264,8,34,7,-2.51,1.91,-9.01
265,8,34,8,-0.87,1.77,-3.50
266,8,34,9,-1.15,1.77,-4.65
267,8,34,10,-1.15,1.77,-4.65
268,8,34,11,-1.79,1.69,-3.31
269,8,34,12,-1.79,1.69,-3.31
270,8,34,13,-2.96,1.88,-2.38
271,8,34,14,-2.96,1.88,-2.38
272,8,35,7,-2.57,1.94,-8.39
273,8,35,8,-0.87,1.77,-3.50
274,8,35,9,-1.15,1.77,-4.65
275,8,35,10,-1.79,1.69,-3.31
276,8,35,11,-1.79,1.69,-3.31
277,8,35,12,-3.03,1.92,-2.35
278,8,35,13,-3.03,1.92,-2.35
279,8,35,14,-2.58,1.69,-2.59
280,8,36,7,-2.57,1.94,-8.39
281,8,36,8,-1.51,1.69,-2.71
282,8,36,9,-1.79,1.69,-3.31
283,8,36,10,-1.79,1.69,-3.31
284,8,36,11,-1.79,1.69,-3.31
285,8,36,12,-3.07,1.93,-2.33
286,8,36,13,-2.61,1.71,-2.57
287,8,36,14,-2.61,1.71,-2.57
288,8,37,7,-2.24,1.65,-13.79
289,8,37,8,-1.79,1.69,-3.31
290,8,37,9,-1.79,1.69,-3.31
291,8,37,10,-1.79,1.69,-3.31
292,8,37,11,-1.79,1.69,-3.31
293,8,37,12,-3.15,1.97,-2.30
294,8,37,13,-2.67,1.74,-2.54
295,8,37,14,-2.67,1.74,-2.54
296,8,38,7,-2.24,1.65,-13.79
297,8,38,8,-1.79,1.69,-3.31
298,8,38,9,-1.79,1.69,-3.31
299,8,38,10,-1.79,1.69,-3.31
300,8,38,11,-3.26,2.03,-2.25
301,8,38,12,-2.76,1.78,-2.49
302,8,38,13,-2.76,1.78,-2.49
303,8,38,14,-2.76,1.78,-2.49
304,8,39,7,-2.24,1.65,-13.79
305,8,39,8,-1.37,1.49,-4.04
306,8,39,9,-1.37,1.49,-4.04
307,8,39,10,-1.37,1.49,-4.04
308,8,39,11,-2.86,1.83,-2.43
309,8,39,12,-2.86,1.83,-2.43
310,8,39,13,-2.86,1.83,-2.43
311,8,39,14,-2.86,1.83,-2.43
312,8,40,7,-2.24,1.65,-13.79
313,8,40,8,-1.37,1.49,-4.04
314,8,40,9,-1.37,1.49,-4.04
315,8,40,10,-1.37,1.49,-4.04
316,8,40,11,-2.98,1.89,-2.37
317,8,40,12,-2.98,1.89,-2.37
318,8,40,13,-2.98,1.89,-2.37
319,8,40,14,-2.71,1.76,-2.52
320,9,21,7,-4.46,2.37,-3.42
321,9,21,8,-2.63,1.97,-11.01
322,9,21,9,-1.24,1.69,-2.97
323,9,21,10,-0.66,1.67,-3.93
324,9,21,11,-0.66,1.67,-3.93
325,9,21,12,-1.02,1.71,-5.12
326,9,21,13,-0.66,1.64,-7.55
327,9,21,14,-0.66,1.64,-7.55
328,9,22,7,-4.46,2.37,-3.42
329,9,22,8,-2.51,1.91,-9.01
330,9,22,9,-0.66,1.67,-3.93
331,9,22,10,-0.66,1.67,-3.93
332,9,22,11,-0.95,1.67,-5.47
333,9,22,12,-1.02,1.71,-5.12
334,9,22,13,-0.66,1.64,-7.55
335,9,22,14,-0.66,1.64,-7.55
336,9,23,7,-2.63,1.97,-11.01
337,9,23,8,-2.51,1.91,-9.01
338,9,23,9,-0.66,1.67,-3.93
339,9,23,10,-0.66,1.67,-3.93
340,9,23,11,-1.02,1.71,-5.12
341,9,23,12,-0.66,1.64,-7.55
342,9,23,13,-0.66,1.64,-7.55
343,9,23,14,-0.66,1.64,-7.55
344,9,24,7,-2.63,1.97,-11.01
345,9,24,8,-2.51,1.91,-9.01
346,9,24,9,-0.66,1.67,-3.93
347,9,24,10,-0.95,1.67,-5.47
348,9,24,11,-1.02,1.71,-5.12
349,9,24,12,-0.66,1.64,-7.55
350,9,24,13,-0.66,1.64,-7.55
351,9,24,14,-0.66,1.64,-7.55
352,9,25,7,-4.46,2.37,-3.42
353,9,25,8,-3.23,2.15,-1.93
354,9,25,9,1.55,2.76,-2.48
355,9,25,10,-1.02,1.71,-5.12
356,9,25,11,-1.02,1.71,-5.12
357,9,25,12,-0.66,1.64,-7.55
358,9,25,13,-0.66,1.64,-7.55
359,9,25,14,-0.66,1.64,-7.55
360,9,26,7,-0.44,3.31,-2.82
361,9,26,8,0.84,3.09,-10.34
362,9,26,9,-0.66,1.67,-3.93
363,9,26,10,-1.02,1.71,-5.12
364,9,26,11,-1.02,1.71,-5.12
365,9,26,12,-0.66,1.64,-7.55
366,9,26,13,-0.66,1.64,-7.55
367,9,26,14,-0.66,1.64,-7.55
368,9,27,7,-0.33,3.26,-2.96
369,9,27,8,-1.36,1.75,-2.85
370,9,27,9,-1.15,1.77,-4.65
371,9,27,10,-1.02,1.71,-5.12
372,9,27,11,-1.02,1.71,-5.12
373,9,27,12,-0.66,1.64,-7.55
374,9,27,13,-0.66,1.64,-7.55
375,9,27,14,-1.42,1.71,-3.93
376,9,28,7,-2.51,1.91,-9.01
377,9,28,8,-1.36,1.75,-2.85
378,9,28,9,-1.15,1.77,-4.65
379,9,28,10,-1.15,1.77,-4.65
380,9,28,11,-1.02,1.71,-5.12
381,9,28,12,-0.78,1.70,-6.45
382,9,28,13,-0.78,1.70,-6.45
383,9,28,14,-2.44,2.15,-2.69
384,9,29,7,-2.51,1.91,-9.01
385,9,29,8,-0.87,1.77,-3.50
386,9,29,9,-1.15,1.77,-4.65
387,9,29,10,-1.15,1.77,-4.65
388,9,29,11,-0.78,1.70,-6.45
389,9,29,12,-0.78,1.70,-6.45
390,9,29,13,-1.42,1.71,-3.93
391,9,29,14,-2.44,2.15,-2.69
392,9,30,7,-1.36,1.75,-2.85
393,9,30,8,-0.87,1.77,-3.50
394,9,30,9,-1.15,1.77,-4.65
395,9,30,10,-1.15,1.77,-4.65
396,9,30,11,-0.78,1.70,-6.45
397,9,30,12,-0.78,1.70,-6.45
398,9,30,13,-2.44,2.15,-2.69
399,9,30,14,-2.44,2.15,-2.69
400,9,31,7,-1.36,1.75,-2.85
401,9,31,8,-1.15,1.77,-4.65
402,9,31,9,-1.15,1.77,-4.65
403,9,31,10,-0.78,1.70,-6.45
404,9,31,11,-0.78,1.70,-6.45
405,9,31,12,-1.42,1.71,-3.93
406,9,31,13,-2.44,2.15,-2.69
407,9,31,14,-2.94,2.15,-3.70
408,9,32,7,-1.42,1.78,-2.79
409,9,32,8,-1.15,1.77,-4.65
410,9,32,9,-0.78,1.70,-6.45
411,9,32,10,-0.78,1.70,-6.45
412,9,32,11,-0.78,1.70,-6.45
413,9,32,12,-2.44,2.15,-2.69
414,9,32,13,-2.44,2.15,-2.69
415,9,32,14,-2.94,2.15,-3.70
416,9,33,7,-0.87,1.77,-3.50
417,9,33,8,-1.15,1.77,-4.65
418,9,33,9,-0.78,1.70,-6.45
419,9,33,10,-0.78,1.70,-6.45
420,9,33,11,-0.78,1.70,-6.45
421,9,33,12,-1.80,2.11,-3.30
422,9,33,13,-2.82,1.82,-2.45
423,9,33,14,-3.33,1.82,-3.24
424,9,34,7,-0.87,1.77,-3.50
425,9,34,8,-1.15,1.77,-4.65
426,9,34,9,-0.78,1.70,-6.45
427,9,34,10,-0.78,1.70,-6.45
428,9,34,11,-0.78,1.70,-6.45
429,9,34,12,-2.82,1.82,-2.45
430,9,34,13,-2.82,1.82,-2.45
431,9,34,14,-2.90,1.60,-3.75
432,9,35,7,-0.87,1.77,-3.50
433,9,35,8,-1.15,1.77,-4.65
434,9,35,9,-1.15,1.77,-4.65
435,9,35,10,-1.79,1.69,-3.31
436,9,35,11,-2.88,1.84,-2.42
437,9,35,12,-2.88,1.84,-2.42
438,9,35,13,-3.38,1.84,-3.16
439,9,35,14,-2.96,1.63,-3.67
440,9,36,7,-1.42,1.78,-2.79
441,9,36,8,-1.79,1.69,-3.31
442,9,36,9,-1.79,1.69,-3.31
443,9,36,10,-1.79,1.69,-3.31
444,9,36,11,-2.96,1.88,-2.38
445,9,36,12,-2.96,1.88,-2.38
446,9,36,13,-3.02,1.66,-3.59
447,9,36,14,-3.02,1.66,-3.59
448,9,37,7,-1.51,1.69,-2.71
449,9,37,8,-1.79,1.69,-3.31
450,9,37,9,-1.79,1.69,-3.31
451,9,37,10,-3.03,1.92,-2.35
