,pfast,pmid,pslow,return,dd,sharpe
279,4,12,40,-8.95,4.57,-5.45
280,4,13,21,-3.52,5.10,-6.22
281,4,13,22,2.49,2.62,-0.15
282,4,13,23,2.37,2.71,-0.16
283,4,13,24,-10.48,5.44,-3.83
284,4,13,25,-11.35,5.91,-3.61
285,4,13,26,-10.63,5.53,-4.57
286,4,13,27,-10.59,5.51,-4.50
287,4,13,28,-10.59,5.51,-4.50
288,4,13,29,-10.59,5.51,-4.50
289,4,13,30,-10.55,5.49,-4.42
290,4,13,31,-10.51,5.47,-4.35
291,4,13,32,-8.60,4.45,-6.23
292,4,13,33,-8.60,4.45,-6.23
293,4,13,34,-8.60,4.45,-6.23
294,4,13,35,-8.60,4.45,-6.23
295,4,13,36,-8.60,4.45,-6.23
296,4,13,37,-8.60,4.45,-6.23
297,4,13,38,-8.60,4.45,-6.23
298,4,13,39,-8.60,4.45,-6.23
299,4,13,40,-8.60,4.45,-6.23
300,4,14,21,-3.71,5.64,-7.54
301,4,14,22,2.26,2.78,-0.24
302,4,14,23,-9.64,5.00,-2.91
303,4,14,24,-9.64,5.00,-2.91
304,4,14,25,-9.64,5.00,-2.91
305,4,14,26,-9.64,5.00,-2.91
306,4,14,27,-9.64,5.00,-2.91
307,4,14,28,-9.64,5.00,-2.91
308,4,14,29,-9.64,5.00,-2.91
309,4,14,30,-9.64,5.00,-2.91
310,4,14,31,-9.64,5.00,-2.91
311,4,14,32,-7.84,4.06,-4.19
312,4,14,33,-7.84,4.06,-4.19
313,4,14,34,-7.84,4.06,-4.19
314,4,14,35,-7.84,4.06,-4.19
315,4,14,36,-7.84,4.06,-4.19
316,4,14,37,-7.84,4.06,-4.19
317,4,14,38,-7.84,4.06,-4.19
318,4,14,39,-7.84,4.06,-4.19
319,4,14,40,-7.84,4.06,-4.19
320,4,15,21,-8.17,4.47,-3.38
321,4,15,22,-6.40,3.30,-5.44
322,4,15,23,-6.18,3.98,-6.06
323,4,15,24,-6.25,3.17,-5.82
324,4,15,25,-4.74,3.89,-51.86
325,4,15,26,-4.74,3.89,-51.86
326,4,15,27,-8.11,4.49,-3.28
327,4,15,28,-7.91,4.32,-3.41
328,4,15,29,-7.63,3.89,-3.91
329,4,15,30,-6.25,3.17,-5.82
330,4,15,31,-6.25,3.17,-5.82
331,4,15,32,-8.26,4.22,-4.19
332,4,15,33,-8.33,4.26,-4.22
333,4,15,34,-8.33,4.26,-4.22
334,4,15,35,-7.93,4.06,-1009.50
335,4,15,36,-7.93,4.06,-1009.50
336,4,15,37,-5.56,2.82,-8.24
337,4,15,38,-5.56,2.82,-8.24
338,4,15,39,-5.56,2.82,-8.24
339,4,15,40,-5.47,2.78,-9.77
340,4,16,21,-6.46,3.51,-5.80
341,4,16,22,-0.23,2.21,-0.96
342,4,16,23,-0.40,2.21,-1.03
343,4,16,24,-5.70,3.97,-8.07
344,4,16,25,-6.30,4.52,-5.72
345,4,16,26,-6.37,4.58,-5.55
346,4,16,27,-6.30,4.52,-5.72
347,4,16,28,-6.10,4.35,-6.31
348,4,16,29,-5.25,4.01,-12.33
349,4,16,30,-7.47,4.53,-4.20
350,4,16,31,-5.91,4.13,-7.04
351,4,16,32,-5.91,4.13,-7.04
352,4,16,33,-4.67,3.78,-51.69
353,4,16,34,-4.67,3.78,-51.69
354,4,16,35,-4.82,3.95,-27.77
355,4,16,36,-3.23,3.03,-5.34
356,4,16,37,-3.28,3.13,-5.61
357,4,16,38,-2.99,2.88,-4.39
358,4,16,39,-3.08,2.88,-5.07
359,4,16,40,-2.04,2.83,-3.11
360,4,17,21,-2.47,2.45,-11.81
361,4,17,22,-5.07,2.58,-17.93
362,4,17,23,-6.97,3.54,-4.42
363,4,17,24,-9.76,4.99,-2.58
364,4,17,25,-8.04,4.49,-3.32
365,4,17,26,-8.11,4.54,-3.28
366,4,17,27,-8.04,4.49,-3.32
367,4,17,28,-7.11,4.05,-4.26
368,4,17,29,-7.31,4.00,-4.02
369,4,17,30,-7.31,4.00,-4.02
370,4,17,31,-7.31,4.00,-4.02
371,4,17,32,-3.25,2.85,-2.30
372,4,17,33,-3.25,2.85,-2.30
373,4,17,34,-3.25,2.85,-2.30
374,4,17,35,-3.25,2.85,-2.30
375,4,17,36,-3.25,2.85,-2.30
376,4,17,37,-3.25,2.85,-2.30
377,4,17,38,-3.25,2.85,-2.30
378,4,17,39,-3.25,2.85,-2.30
379,4,17,40,-3.25,2.85,-2.30
380,4,18,21,-7.39,4.49,-4.16
381,4,18,22,-3.36,3.26,-2.26
382,4,18,23,5.79,2.18,0.17
383,4,18,24,-1.73,2.39,-1.76
384,4,18,25,-1.78,2.39,-1.85
385,4,18,26,-6.37,4.58,-5.55
386,4,18,27,-5.25,4.01,-12.33
387,4,18,28,-5.25,4.01,-12.33
388,4,18,29,-5.63,4.02,-8.52
389,4,18,30,-5.63,4.02,-8.52
390,4,18,31,-5.91,4.13,-7.04
391,4,18,32,-5.91,4.13,-7.04
392,4,18,33,-4.67,3.78,-51.69
393,4,18,34,-4.67,3.78,-51.69
394,4,18,35,-3.21,2.99,-5.26
395,4,18,36,-2.99,2.88,-4.39
396,4,18,37,-2.99,2.88,-4.39
397,4,18,38,-2.99,2.88,-4.39
398,4,18,39,-2.04,2.83,-3.11
399,4,18,40,-2.04,2.83,-3.11
400,4,19,21,0.02,4.68,-10.04
401,4,19,22,-6.25,3.17,-5.82
402,4,19,23,-3.80,6.11,-9.91
403,4,19,24,-2.69,5.15,-3.55
404,4,19,25,-2.32,2.59,-2.45
405,4,19,26,-1.73,2.39,-1.76
406,4,19,27,-7.17,4.05,-4.18
407,4,19,28,-7.17,4.05,-4.18
408,4,19,29,-7.63,3.89,-3.91
409,4,19,30,-7.71,3.93,-3.95
410,4,19,31,-8.02,4.09,-4.08
411,4,19,32,-8.26,4.22,-4.19
412,4,19,33,-8.33,4.26,-4.22
413,4,19,34,-7.93,4.06,-1009.50
414,4,19,35,-7.93,4.06,-1009.50
415,4,19,36,-7.00,3.59,-10.21
416,4,19,37,-7.00,3.59,-10.21
417,4,19,38,-4.66,2.36,-25.44
418,4,19,39,-4.66,2.36,-25.44
419,4,19,40,-5.56,2.82,-8.24
420,4,20,21,-12.55,6.52,-2.06
421,4,20,22,0.74,3.47,-2.66
422,4,20,23,3.36,3.28,-0.86
423,4,20,24,0.28,3.79,-8.16
424,4,20,25,-2.31,4.64,-2.43
425,4,20,26,-2.05,2.89,-3.54
426,4,20,27,-2.24,2.55,-2.42
427,4,20,28,-6.15,4.61,-7.17
428,4,20,29,-7.64,5.06,-24.33
429,4,20,30,-7.59,5.03,-22.61
430,4,20,31,-7.97,5.20,-16.69
431,4,20,32,-2.44,3.61,-2.64
432,4,20,33,-2.44,3.61,-2.64
433,4,20,34,-0.93,2.88,-5.33
434,4,20,35,-0.93,2.88,-5.33
435,4,20,36,-0.71,2.88,-6.70
436,4,20,37,-0.71,2.88,-6.70
437,4,20,38,0.13,2.83,-0.93
438,4,20,39,0.13,2.83,-0.93
439,4,20,40,0.13,2.83,-0.93
440,5,10,21,1.30,4.17,-0.87
441,5,10,22,-3.69,5.18,-7.38
442,5,10,23,-3.69,5.18,-7.38
443,5,10,24,-9.51,5.42,-3.44
444,5,10,25,-9.55,5.45,-3.49
445,5,10,26,-9.51,5.42,-3.44
446,5,10,27,-9.55,5.45,-3.49
447,5,10,28,-9.51,5.42,-3.44
448,5,10,29,-9.51,5.42,-3.44
449,5,10,30,-8.66,4.98,-3.71
450,5,10,31,-9.55,5.45,-3.49
451,5,10,32,-5.30,3.72,-2.75
452,5,10,33,-5.30,3.72,-2.75
453,5,10,34,-5.30,3.72,-2.75
454,5,10,35,-5.30,3.72,-2.75
455,5,10,36,-5.30,3.72,-2.75
456,5,10,37,-5.30,3.72,-2.75
457,5,10,38,-5.30,3.72,-2.75
458,5,10,39,-5.30,3.72,-2.75
459,5,10,40,-5.30,3.72,-2.75
460,5,11,21,-3.52,5.10,-6.22
461,5,11,22,-1.35,4.43,-1.29
462,5,11,23,-1.45,4.48,-1.29
463,5,11,24,-9.39,5.36,-3.52
464,5,11,25,-9.44,5.39,-3.56
465,5,11,26,-9.39,5.36,-3.52
466,5,11,27,-8.54,4.92,-3.81
467,5,11,28,-8.58,4.94,-3.87
468,5,11,29,-8.54,4.92,-3.81
469,5,11,30,-8.54,4.92,-3.81
470,5,11,31,-8.50,4.90,-3.74
471,5,11,32,-5.46,3.66,-3.19
472,5,11,33,-5.46,3.66,-3.19
473,5,11,34,-5.46,3.66,-3.19
474,5,11,35,-5.46,3.66,-3.19
475,5,11,36,-5.56,3.66,-3.35
476,5,11,37,-5.56,3.66,-3.35
477,5,11,38,-5.56,3.66,-3.35
478,5,11,39,-5.56,3.66,-3.35
479,5,11,40,-5.56,3.66,-3.35
480,5,12,21,-3.52,5.10,-6.22
481,5,12,22,-3.52,5.10,-6.22
482,5,12,23,-0.33,4.00,-0.90
483,5,12,24,-7.95,4.57,-5.22
484,5,12,25,-10.77,5.53,-2.90
485,5,12,26,-9.92,5.08,-3.04
486,5,12,27,-9.88,5.06,-3.00
487,5,12,28,-9.88,5.06,-3.00
488,5,12,29,-9.88,5.06,-3.00
489,5,12,30,-9.84,5.04,-2.96
490,5,12,31,-9.80,5.02,-2.92
491,5,12,32,-6.84,3.79,-2.47
492,5,12,33,-6.84,3.79,-2.47
493,5,12,34,-6.94,3.79,-2.56
494,5,12,35,-6.94,3.79,-2.56
495,5,12,36,-6.94,3.79,-2.56
496,5,12,37,-6.94,3.79,-2.56
497,5,12,38,-6.94,3.79,-2.56
498,5,12,39,-6.94,3.79,-2.56
499,5,12,40,-6.94,3.79,-2.56
500,5,13,21,-2.86,4.78,-3.66
501,5,13,22,-3.30,5.00,-5.11
502,5,13,23,3.47,2.26,-0.06
503,5,13,24,-7.02,4.10,-5.31
504,5,13,25,-7.97,4.60,-5.38
505,5,13,26,-9.73,4.98,-3.12
506,5,13,27,-9.69,4.96,-3.08
507,5,13,28,-9.69,4.96,-3.08
508,5,13,29,-9.69,4.96,-3.08
509,5,13,30,-9.65,4.94,-3.04
510,5,13,31,-9.61,4.92,-3.00
511,5,13,32,-5.99,3.70,-2.04
512,5,13,33,-5.99,3.70,-2.04
513,5,13,34,-5.99,3.70,-2.04
514,5,13,35,-5.99,3.70,-2.04
515,5,13,36,-5.99,3.70,-2.04
516,5,13,37,-5.99,3.70,-2.04
517,5,13,38,-5.99,3.70,-2.04
518,5,13,39,-5.99,3.70,-2.04
519,5,13,40,-5.99,3.70,-2.04
520,5,14,21,-4.26,5.46,-57.57
521,5,14,22,2.49,2.31,-0.21
522,5,14,23,3.93,2.26,-0.01
523,5,14,24,-9.54,4.94,-2.96
524,5,14,25,-9.54,4.94,-2.96
525,5,14,26,-9.54,4.94,-2.96
526,5,14,27,-9.54,4.94,-2.96
527,5,14,28,-9.54,4.94,-2.96
528,5,14,29,-9.54,4.94,-2.96
529,5,14,30,-9.54,4.94,-2.96
