,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
147,5,14,4,15,15,35,47.12,6.81,0.86
148,5,14,4,15,15,40,59.71,7.27,0.94
149,5,14,4,15,15,45,48.10,7.64,0.75
150,5,14,4,20,15,25,61.01,4.77,0.88
151,5,14,4,20,15,30,61.51,5.81,0.90
152,5,14,4,20,15,35,64.22,6.28,0.97
153,5,14,4,20,15,40,71.19,6.72,1.03
154,5,14,4,20,15,45,50.73,7.05,0.81
155,5,14,4,25,15,25,76.03,3.31,1.12
156,5,14,4,25,15,30,76.33,3.76,1.13
157,5,14,4,25,15,35,79.48,5.02,1.20
158,5,14,4,25,15,40,84.86,6.10,1.26
159,5,14,4,25,15,45,60.85,7.00,1.01
160,5,14,4,10,20,25,56.50,6.99,0.80
161,5,14,4,10,20,30,56.13,7.84,0.79
162,5,14,4,10,20,35,59.20,8.33,0.85
163,5,14,4,10,20,40,-9.57,10.18,-7.12
164,5,14,4,10,20,45,54.12,9.14,0.76
165,5,14,4,15,20,25,50.24,5.34,0.80
166,5,14,4,15,20,30,49.87,6.24,0.79
167,5,14,4,15,20,35,52.78,6.74,0.86
168,5,14,4,15,20,40,50.59,7.20,0.75
169,5,14,4,15,20,45,47.92,7.56,0.75
170,5,14,4,20,20,25,61.13,4.76,0.87
171,5,14,4,20,20,30,61.97,5.73,0.89
172,5,14,4,20,20,35,64.73,6.21,0.96
173,5,14,4,20,20,40,60.83,6.64,0.82
174,5,14,4,20,20,45,50.55,6.97,0.81
175,5,14,4,25,20,25,75.80,3.31,1.11
176,5,14,4,25,20,30,76.33,3.76,1.13
177,5,14,4,25,20,35,79.48,5.02,1.20
178,5,14,4,25,20,40,73.10,6.10,1.00
179,5,14,4,25,20,45,60.84,6.98,1.01
180,5,14,5,10,10,25,34.25,8.41,0.71
181,5,14,5,10,10,30,26.26,9.76,0.55
182,5,14,5,10,10,35,24.05,10.56,0.53
183,5,14,5,10,10,40,44.16,7.78,0.69
184,5,14,5,10,10,45,34.24,7.78,0.63
185,5,14,5,15,10,25,37.25,8.41,0.81
186,5,14,5,15,10,30,31.61,9.76,0.72
187,5,14,5,15,10,35,31.84,10.56,0.81
188,5,14,5,15,10,40,55.44,6.07,0.95
189,5,14,5,15,10,45,46.39,7.11,1.01
190,5,14,5,20,10,25,62.80,3.73,0.92
191,5,14,5,20,10,30,61.86,4.56,0.91
192,5,14,5,20,10,35,64.62,5.04,0.98
193,5,14,5,20,10,40,72.73,5.47,1.04
194,5,14,5,20,10,45,49.45,7.11,1.13
195,5,14,5,25,10,25,69.35,3.07,1.12
196,5,14,5,25,10,30,67.94,3.07,1.09
197,5,14,5,25,10,35,70.98,4.19,1.17
198,5,14,5,25,10,40,77.55,5.28,1.23
199,5,14,5,25,10,45,52.55,7.47,1.50
200,5,14,5,10,15,25,41.68,6.36,0.79
201,5,14,5,10,15,30,33.36,7.72,0.64
202,5,14,5,10,15,35,31.09,8.52,0.63
203,5,14,5,10,15,40,44.68,7.19,0.72
204,5,14,5,10,15,45,37.92,7.20,0.63
205,5,14,5,15,15,25,44.08,6.36,0.86
206,5,14,5,15,15,30,39.47,7.72,0.83
207,5,14,5,15,15,35,39.70,8.52,0.92
208,5,14,5,15,15,40,56.45,6.46,1.01
209,5,14,5,15,15,45,44.83,6.83,0.79
210,5,14,5,20,15,25,64.49,3.73,0.95
211,5,14,5,20,15,30,64.60,4.96,0.97
212,5,14,5,20,15,35,67.38,5.43,1.04
213,5,14,5,20,15,40,74.36,5.87,1.10
214,5,14,5,20,15,45,47.49,6.37,0.86
215,5,14,5,25,15,25,69.69,3.07,1.13
216,5,14,5,25,15,30,69.61,3.62,1.13
217,5,14,5,25,15,35,72.69,4.90,1.21
218,5,14,5,25,15,40,78.24,5.96,1.28
219,5,14,5,25,15,45,48.99,6.86,1.01
220,5,14,5,10,20,25,44.85,5.98,0.79
221,5,14,5,10,20,30,40.47,7.22,0.69
222,5,14,5,10,20,35,40.49,7.25,0.69
223,5,14,5,10,20,40,40.95,7.19,0.64
224,5,14,5,10,20,45,37.84,7.20,0.63
225,5,14,5,15,20,25,46.94,5.17,0.85
226,5,14,5,15,20,30,46.54,5.41,0.84
227,5,14,5,15,20,35,49.42,5.92,0.92
228,5,14,5,15,20,40,47.52,6.38,0.78
229,5,14,5,15,20,45,44.65,6.75,0.79
230,5,14,5,20,20,25,64.09,3.73,0.93
231,5,14,5,20,20,30,65.07,4.88,0.96
232,5,14,5,20,20,35,67.85,5.36,1.02
233,5,14,5,20,20,40,63.80,5.79,0.88
234,5,14,5,20,20,45,47.32,6.21,0.86
235,5,14,5,25,20,25,69.45,3.07,1.13
236,5,14,5,25,20,30,69.61,3.62,1.13
237,5,14,5,25,20,35,72.69,4.90,1.21
238,5,14,5,25,20,40,67.16,5.96,1.00
239,5,14,5,25,20,45,48.99,6.86,1.01
240,5,21,2,10,10,25,61.52,6.65,0.78
241,5,21,2,10,10,30,55.79,8.64,0.70
242,5,21,2,10,10,35,56.17,10.01,0.70
243,5,21,2,10,10,40,39.49,11.12,0.64
244,5,21,2,10,10,45,38.01,11.93,0.64
245,5,21,2,15,10,25,40.36,11.23,0.50
246,5,21,2,15,10,30,37.15,12.45,0.47
247,5,21,2,15,10,35,39.45,12.92,0.50
248,5,21,2,15,10,40,29.22,13.95,0.44
249,5,21,2,15,10,45,28.96,14.32,0.46
250,5,21,2,20,10,25,45.32,9.74,0.57
251,5,21,2,20,10,30,41.20,11.25,0.52
252,5,21,2,20,10,35,43.85,11.74,0.55
253,5,21,2,20,10,40,33.11,12.80,0.51
254,5,21,2,20,10,45,32.72,13.17,0.52
255,5,21,2,25,10,25,56.57,8.10,0.68
256,5,21,2,25,10,30,53.13,10.09,0.63
257,5,21,2,25,10,35,55.90,10.88,0.67
258,5,21,2,25,10,40,35.42,12.08,0.59
259,5,21,2,25,10,45,33.66,12.66,0.61
260,5,21,2,10,15,25,64.40,6.10,0.82
261,5,21,2,10,15,30,60.05,8.45,0.76
262,5,21,2,10,15,35,60.39,9.84,0.77
