,vol_window,vol_roc_period,price_lookback,sma_window,return,dd,sharpe
176,15,10,7,14,-0.76,4.03,-0.85
177,15,10,7,21,0.39,3.47,-0.85
178,15,10,7,28,0.39,3.47,-0.85
179,15,10,7,35,-2.44,2.15,-4.78
180,15,10,8,14,-4.14,3.42,-22.55
181,15,10,8,21,-6.15,3.73,-4.18
182,15,10,8,28,-6.15,3.73,-4.18
183,15,10,8,35,-6.15,3.73,-4.18
184,15,10,9,14,-3.90,3.30,-65.53
185,15,10,9,21,-3.23,2.75,-5.76
186,15,10,9,28,-3.98,2.34,-30.47
187,15,10,9,35,-3.98,2.34,-30.47
188,15,10,10,14,-3.90,3.30,-65.53
189,15,10,10,21,-7.27,3.77,-3.18
190,15,10,10,28,-7.27,3.77,-3.18
191,15,10,10,35,-7.27,3.77,-3.18
192,20,3,5,14,1.89,2.68,-0.33
193,20,3,5,21,-0.61,3.87,-1.19
194,20,3,5,28,-0.61,3.87,-1.19
195,20,3,5,35,-5.18,3.52,-11.73
196,20,3,6,14,-0.16,3.81,-0.95
197,20,3,6,21,-3.20,5.27,-5.63
198,20,3,6,28,-3.20,5.27,-5.63
199,20,3,6,35,-5.56,3.54,-8.22
200,20,3,7,14,1.89,2.76,-0.33
201,20,3,7,21,-0.92,4.10,-1.38
202,20,3,7,28,-2.95,5.08,-4.54
203,20,3,7,35,-4.97,3.53,-15.70
204,20,3,8,14,-6.58,3.95,-4.68
205,20,3,8,21,-6.58,3.95,-4.68
206,20,3,8,28,-6.58,3.95,-4.68
207,20,3,8,35,-6.58,3.95,-4.68
208,20,3,9,14,-4.66,2.69,-20.00
209,20,3,9,21,-4.66,2.69,-20.00
210,20,3,9,28,-6.51,3.63,-6.97
211,20,3,9,35,-6.51,3.63,-6.97
212,20,3,10,14,-7.37,3.82,-3.32
213,20,3,10,21,-7.27,3.77,-3.18
214,20,3,10,28,-7.27,3.77,-3.18
215,20,3,10,35,-7.27,3.77,-3.18
216,20,4,5,14,-0.54,3.84,-1.16
217,20,4,5,21,-0.61,3.87,-1.19
218,20,4,5,28,-0.61,3.87,-1.19
219,20,4,5,35,-5.48,3.44,-8.79
220,20,4,6,14,-0.51,3.97,-1.11
221,20,4,6,21,-3.54,5.44,-7.96
222,20,4,6,28,-3.54,5.44,-7.96
223,20,4,6,35,-5.89,3.61,-6.63
224,20,4,7,14,1.89,2.76,-0.33
225,20,4,7,21,-0.92,4.10,-1.38
226,20,4,7,28,-2.95,5.08,-4.54
227,20,4,7,35,-4.97,3.53,-15.70
228,20,4,8,14,-4.38,2.84,-440.77
229,20,4,8,21,-4.38,2.84,-440.77
230,20,4,8,28,-6.29,3.80,-5.21
231,20,4,8,35,-6.29,3.80,-5.21
232,20,4,9,14,-4.66,2.69,-20.00
233,20,4,9,21,-4.66,2.69,-20.00
234,20,4,9,28,-6.51,3.63,-6.97
235,20,4,9,35,-6.51,3.63,-6.97
236,20,4,10,14,-7.37,3.82,-3.32
237,20,4,10,21,-7.27,3.77,-3.18
238,20,4,10,28,-7.27,3.77,-3.18
239,20,4,10,35,-7.27,3.77,-3.18
240,20,5,5,14,-0.54,3.84,-1.16
241,20,5,5,21,-0.61,3.87,-1.19
242,20,5,5,28,-0.61,3.87,-1.19
243,20,5,5,35,-5.48,3.44,-8.79
244,20,5,6,14,-0.51,3.97,-1.11
245,20,5,6,21,-3.54,5.44,-7.96
246,20,5,6,28,-3.54,5.44,-7.96
247,20,5,6,35,-5.89,3.61,-6.63
248,20,5,7,14,1.89,2.76,-0.33
249,20,5,7,21,-0.92,4.10,-1.38
250,20,5,7,28,-2.95,5.08,-4.54
251,20,5,7,35,-4.97,3.53,-15.70
252,20,5,8,14,-4.38,2.84,-440.77
253,20,5,8,21,-4.38,2.84,-440.77
254,20,5,8,28,-6.29,3.80,-5.21
255,20,5,8,35,-6.29,3.80,-5.21
256,20,5,9,14,-4.66,2.69,-20.00
257,20,5,9,21,-4.66,2.69,-20.00
258,20,5,9,28,-6.51,3.63,-6.97
259,20,5,9,35,-6.51,3.63,-6.97
260,20,5,10,14,-7.37,3.82,-3.32
261,20,5,10,21,-7.27,3.77,-3.18
