,period,overbought,oversold,return,dd,sharpe
211,24,65,35,0.00,0.00,
212,24,65,40,-5.63,2.83,-1.71
213,24,70,30,0.00,0.00,
214,24,70,35,0.00,0.00,
215,24,70,40,-5.63,2.83,-1.71
216,25,55,30,0.00,0.00,
217,25,55,35,0.00,0.00,
218,25,55,40,2.98,0.06,-0.36
219,25,60,30,0.00,0.00,
220,25,60,35,0.00,0.00,
221,25,60,40,2.98,0.06,-0.36
222,25,65,30,0.00,0.00,
223,25,65,35,0.00,0.00,
224,25,65,40,2.98,0.06,-0.36
225,25,70,30,0.00,0.00,
226,25,70,35,0.00,0.00,
227,25,70,40,2.98,0.06,-0.36
228,26,55,30,0.00,0.00,
229,26,55,35,0.00,0.00,
230,26,55,40,2.85,0.05,-0.42
231,26,60,30,0.00,0.00,
232,26,60,35,0.00,0.00,
233,26,60,40,2.85,0.05,-0.42
234,26,65,30,0.00,0.00,
235,26,65,35,0.00,0.00,
236,26,65,40,2.85,0.05,-0.42
237,26,70,30,0.00,0.00,
238,26,70,35,0.00,0.00,
239,26,70,40,2.85,0.05,-0.42
240,27,55,30,0.00,0.00,
241,27,55,35,0.00,0.00,
242,27,55,40,2.73,0.05,-0.49
243,27,60,30,0.00,0.00,
244,27,60,35,0.00,0.00,
245,27,60,40,2.73,0.05,-0.49
246,27,65,30,0.00,0.00,
247,27,65,35,0.00,0.00,
248,27,65,40,2.73,0.05,-0.49
249,27,70,30,0.00,0.00,
250,27,70,35,0.00,0.00,
251,27,70,40,2.73,0.05,-0.49
252,28,55,30,0.00,0.00,
253,28,55,35,0.00,0.00,
254,28,55,40,2.62,0.05,-0.55
255,28,60,30,0.00,0.00,
256,28,60,35,0.00,0.00,
257,28,60,40,2.62,0.05,-0.55
258,28,65,30,0.00,0.00,
259,28,65,35,0.00,0.00,
260,28,65,40,2.62,0.05,-0.55
261,28,70,30,0.00,0.00,
262,28,70,35,0.00,0.00,
263,28,70,40,2.62,0.05,-0.55
